"Rank","Player","Team","Bye","POS","AVG"
"120","Justin Herbert","LAC","12","QB15","117.5"
"121","Tre Harris","LAC","12","WR58","118.0"
"122","Marvin Mims Jr.","DEN","12","WR59","119.5"
"123","Dak Prescott","DAL","10","QB16","120.5"
"124","David Njoku","CLE","9","TE11","121.0"
"125","Bhayshul Tuten","JAC","8","RB39","123.0"
"126","Jordan Love","GB","5","QB17","124.5"
"127","Jalen McMillan","TB","9","WR60","125.5"
"128","Colston Loveland","CHI","5","TE12","128.0"
"129","Marquise Brown","KC","10","WR61","129.5"
"130","J.J. McCarthy","MIN","6","QB18","129.5"
"131","Tucker Kraft","GB","5","TE13","131.5"
"132","Trevor Lawrence","JAC","8","QB19","131.5"
"133","C.J. Stroud","HOU","6","QB20","132.5"
"134","Tyjae Spears","TEN","10","RB40","134.5"
"135","Javonte Williams","DAL","10","RB41","136.0"
"136","Dalton Kincaid","BUF","7","TE14","138.0"
"137","Tank Bigsby","JAC","8","RB42","139.0"
"138","Michael Penix Jr.","ATL","5","QB21","140.0"
"139","Isaiah Likely","BAL","7","TE15","141.5"
"140","Kyle Williams","NE","14","WR62","143.5"
"141","Isaac Guerendo","SF","14","RB43","143.5"
"142","Trey Benson","ARI","8","RB44","144.0"
"143","Quentin Johnston","LAC","12","WR63","145.0"
"144","Dallas Goedert","PHI","9","TE16","145.0"
"145","Ray Davis","BUF","7","RB45","146.5"
"146","Jake Ferguson","DAL","10","TE17","147.0"
"147","Tua Tagovailoa","MIA","12","QB22","147.5"
"148","Romeo Doubs","GB","5","WR64","149.0"
"149","Adam Thielen","CAR","14","WR65","151.0"
"150","Rachaad White","TB","9","RB46","151.5"
"151","Matthew Stafford","LAR","8","QB23","153.0"
"152","Xavier Legette","CAR","14","WR66","153.5"
"153","Bryce Young","CAR","14","QB24","154.5"
"154","Cedric Tillman","CLE","9","WR67","155.5"
"155","Kyle Pitts","ATL","5","TE18","155.5"
"156","Cameron Ward","TEN","10","QB25","157.0"
"157","Jack Bech","LV","8","WR68","157.5"
"158","Geno Smith","LV","8","QB26","158.0"
"159","Tyler Allgeier","ATL","5","RB47","161.0"
"160","Keenan Allen","","","WR69","163.0"
"161","Rico Dowdle","CAR","14","RB48","163.5"
"162","Joshua Palmer","BUF","7","WR70","163.5"
"163","Austin Ekeler","WAS","12","RB49","168.0"
"164","Brenton Strange","JAC","8","TE19","168.5"
"165","Jerome Ford","CLE","9","RB50","169.0"
"166","Braelon Allen","NYJ","9","RB51","169.5"
"167","Jaylin Noel","HOU","6","WR71","169.5"
"168","Sam Darnold","SEA","8","QB27","169.5"
"169","Jaydon Blue","DAL","10","RB52","170.5"
"170","Dylan Sampson","CLE","9","RB53","171.0"
"171","DJ Giddens","IND","11","RB54","171.5"
"172","J.K. Dobbins","","","RB55","172.5"
"173","Zach Ertz","WAS","12","TE20","173.0"
"174","Wan'Dale Robinson","NYG","14","WR72","174.5"
"175","Jaylen Wright","MIA","12","RB56","174.5"
"176","Alec Pierce","IND","11","WR73","176.0"
"177","Hunter Henry","NE","14","TE21","176.5"
"178","Mike Gesicki","CIN","10","TE22","179.0"
"179","Jalen Coker","CAR","14","WR74","179.5"
"180","Anthony Richardson Sr.","IND","11","QB28","179.5"
"181","Pat Freiermuth","PIT","5","TE23","181.0"
"182","Cade Otton","TB","9","TE24","181.5"
"183","Devin Neal","NO","11","RB57","183.0"
"184","Dontayvion Wicks","GB","5","WR75","183.0"
"185","Will Shipley","PHI","9","RB58","184.5"
"186","DeAndre Hopkins","BAL","7","WR76","185.5"
"187","DeMario Douglas","NE","14","WR77","186.0"
"188","Justice Hill","BAL","7","RB59","190.0"
"189","Dyami Brown","JAC","8","WR78","190.5"
"190","Blake Corum","LAR","8","RB60","193.5"
"191","Elic Ayomanor","TEN","10","WR79","193.5"
"192","Michael Wilson","ARI","8","WR80","197.0"
"193","Dalton Schultz","HOU","6","TE25","197.5"
"194","Darius Slayton","NYG","14","WR81","199.0"
"195","Chig Okonkwo","TEN","10","TE26","201.5"
"196","Brashard Smith","KC","10","RB61","201.5"
"197","Andrei Iosivas","CIN","10","WR82","201.5"
"198","Jarquez Hunter","LAR","8","RB62","202.0"
"199","MarShawn Lloyd","GB","5","RB63","202.5"
"200","Mason Taylor","NYJ","9","TE27","203.0"
"201","Jaxson Dart","NYG","14","QB29","205.0"
"202","Adonai Mitchell","IND","11","WR83","206.5"
"203","Juwan Johnson","NO","11","TE28","206.5"
"204","Aaron Rodgers","PIT","5","QB30","207.5"
"205","Russell Wilson","NYG","14","QB31","208.0"
"206","Cole Kmet","CHI","5","TE29","208.5"
"207","Jalen Royals","KC","10","WR84","208.5"
"208","Ollie Gordon II","MIA","12","RB64","211.0"
"209","Jalen Tolbert","DAL","10","WR85","211.5"
"210","Tutu Atwell","LAR","8","WR86","211.5"
"211","Ja'Tavion Sanders","CAR","14","TE30","212.5"
"212","Kareem Hunt","KC","10","RB65","213.0"
"213","Daniel Jones","IND","11","QB32","216.0"
"214","Amari Cooper","","","WR87","216.5"
"215","Jalen Milroe","SEA","8","QB33","217.0"
"216","Nick Chubb","","","RB66","217.0"
"217","Roschon Johnson","CHI","5","RB67","220.0"
"218","Theo Johnson","NYG","14","TE31","220.5"
"219","Tyler Higbee","LAR","8","TE32","220.5"
"220","Pat Bryant","DEN","12","WR88","225.0"
"221","Shedeur Sanders","CLE","9","QB34","223.0"
"222","Jordan James","SF","14","RB68","223.5"
"223","Mike Williams","LAC","12","WR89","226.0"
"224","Damien Martinez","SEA","8","RB69","174.0"
"225","Elijah Arroyo","SEA","8","TE33","230.0"
"226","Elijah Mitchell","KC","10","RB70","230.5"
"227","Troy Franklin","DEN","12","WR90","235.5"
"228","Audric Estime","DEN","12","RB71","235.5"
"229","Noah Gray","KC","10","TE34","236.5"
"230","Ray-Ray McCloud III","ATL","5","WR91","237.5"
"231","Harold Fannin Jr.","CLE","9","TE35","238.0"
"232","Kendre Miller","NO","11","RB72","238.0"
"233","Keaton Mitchell","BAL","7","RB73","238.5"
"234","Woody Marks","HOU","6","RB74","259.5"
"235","Trevor Etienne","CAR","14","RB75","239.5"
"236","Tahj Brooks","CIN","10","RB76","239.5"
"237","Tory Horton","SEA","8","WR92","240.0"
"238","Joe Flacco","CLE","9","QB35","240.0"
"239","Tyler Shough","NO","11","QB36","241.0"
"240","Isaac TeSlaa","DET","8","WR93","241.5"
"241","Sean Tucker","TB","9","RB77","242.0"
"242","Raheem Mostert","LV","8","RB78","243.5"
"243","Isaiah Bond","","","WR94","208.0"
"244","Kirk Cousins","ATL","5","QB37","245.5"
"245","Tyler Lockett","TEN","10","WR95","246.0"
"246","Calvin Austin III","PIT","5","WR96","246.5"
"247","Tyler Conklin","LAC","12","TE36","246.5"
"248","Tre Tucker","LV","8","WR97","247.0"
"249","Nick Westbrook-Ikhine","MIA","12","WR98","247.5"
"250","Miles Sanders","DAL","10","RB79","255.5"
"251","Savion Williams","GB","5","WR99","251.0"
"252","Marquez Valdes-Scantling","SEA","8","WR100","251.5"
"253","Taysom Hill","NO","11","TE37","253.5"
"254","Xavier Restrepo","TEN","10","WR101","254.0"
"255","Roman Wilson","PIT","5","WR102","267.5"
"256","Curtis Samuel","BUF","7","WR103","255.0"
"257","Parker Washington","JAC","8","WR104","255.5"
"258","Gabe Davis","","","WR105","229.0"
"259","Terrance Ferguson","LAR","8","TE38","256.0"
"260","Kayshon Boutte","NE","14","WR106","256.5"
"261","Brandin Cooks","NO","11","WR107","257.5"
"262","Jaleel McLaughlin","DEN","12","RB80","258.5"
"263","Allen Lazard","NYJ","9","WR108","262.5"
"264","Noah Brown","WAS","12","WR109","260.0"
"265","Zack Moss","CIN","10","RB81","260.0"
"266","Elijah Moore","BUF","7","WR110","328.5"
"267","Devaughn Vele","DEN","12","WR111","260.5"
"268","Demarcus Robinson","SF","14","WR112","261.0"
"269","Noah Fant","SEA","8","TE39","261.0"
"270","Jordan Whittington","LAR","8","WR113","261.5"
"271","Ben Sinnott","WAS","12","TE40","261.5"
